customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
21-188M-362,140,3,1085.8899999999999,4,4,4,444
21-188M-363,113,10,4902.280000000001,4,4,4,444
21-188M-364,49,2,467.27,4,4,4,444
21-188M-365,140,4,2100.9100000000003,4,4,4,444
21-188M-367,49,3,1022.12,4,4,4,444
21-188M-368,285,15,10760.789999999999,4,4,4,444
21-188M-369,422,3,3421.81,4,4,4,444
21-188M-37,369,53,37132.99999999999,4,3,3,433
21-188M-370,519,2,778.18,4,4,4,444
21-188M-371,369,5,1885.9,4,4,4,444
21-188M-372,80,7,4497.84,4,4,4,444
21-188M-373,37,7,3908.75,3,4,4,344
21-188M-374,192,13,6733.67,4,4,4,444
21-188M-375,36,7,4735.96,3,4,4,344
21-188M-376,6,13,8562.830000000002,2,4,4,244
21-188M-377,170,4,2951.9,4,4,4,444
21-188M-378,3,13,6872.019999999999,1,4,4,144
21-188M-379,39,4,3875.26,3,4,4,344
21-188M-380,322,3,1736.86,4,4,4,444
21-188M-381,76,3,2873.41,4,4,4,444
21-188M-382,26,22,14792.99,3,4,4,344
21-188M-383,96,16,12126.249999999998,4,4,4,444
21-188M-384,384,4,1654.88,4,4,4,444
21-188M-385,367,26,11948.46,4,4,4,444
21-188M-387,436,2,1183.13,4,4,4,444
21-188M-389,57,2,706.27,4,4,4,444
21-188M-391,310,3,1030.01,4,4,4,444
21-188M-392,67,5,2135.51,4,4,4,444
21-188M-393,3,8,2871.330000000001,1,4,4,144
21-188M-398,369,23,8054.0,4,4,4,444
21-188M-401,365,61,21393.460000000006,4,2,3,423
21-188M-408,487,8,3213.6100000000006,4,4,4,444
21-188M-412,13,28,13835.48,3,4,4,344
21-188M-413,3,39,34124.17999999999,1,3,3,133
21-188M-416,9,32,33329.01,2,4,3,243
21-188M-418,130,11,17325.65,4,4,4,444
21-188M-420,383,11,12296.189999999997,4,4,4,444
21-188M-421,373,8,4009.0899999999997,4,4,4,444
21-188M-426,451,9,9824.84,4,4,4,444
21-188M-428,36,19,20891.980000000003,3,4,3,343
21-188M-429,0,16,17271.71,1,4,4,144
21-188M-430,92,6,6790.700000000001,4,4,4,444
21-188M-432,2,96,90835.1,1,2,1,121
21-188M-435,53,8,8625.470000000001,4,4,4,444
21-188M-436,18,31,32516.629999999997,3,4,3,343
21-188M-437,23,23,33353.78,3,4,3,343
21-188M-44,11,37,46581.45,2,3,2,232
21-188M-441,367,37,41393.32,4,3,2,432
21-188M-442,2,119,131930.22,1,1,1,111
21-188M-443,4,21,22757.68,2,4,3,243
21-188M-444,2,63,53972.66999999999,1,2,2,122
21-188M-446,375,45,31359.77,4,3,3,433
21-188M-45,371,20,13761.66,4,4,4,444
21-188M-450,479,8,3596.2599999999998,4,4,4,444
21-188M-453,390,8,3453.33,4,4,4,444
21-188M-454,361,10,8848.369999999999,4,4,4,444
21-188M-455,20,10,13505.490000000002,3,4,4,344
21-188M-456,38,13,17699.14,3,4,4,344
21-188M-457,28,9,14623.44,3,4,4,344
21-188M-46,388,16,11570.28,4,4,4,444
21-188M-463,366,16,13703.369999999999,4,4,4,444
21-188M-464,382,6,5110.26,4,4,4,444
21-188M-466,23,21,12586.029999999999,3,4,4,344
21-188M-468,2,36,34833.00000000001,1,3,3,133
21-188M-469,37,64,47078.26999999999,3,2,2,322
21-188M-47,366,37,24367.390000000003,4,3,3,433
21-188M-472,373,65,46423.77999999999,4,2,2,422
21-188M-473,75,44,28244.340000000004,4,3,3,433
21-188M-479,50,42,40188.679999999986,4,3,2,432
21-188M-480,1,16,37728.58,1,4,2,142
21-188M-482,1,250,247479.66999999993,1,1,1,111
21-188M-483,16,38,41280.729999999996,3,3,2,332
21-188M-485,1,52,54769.52999999999,1,3,2,132
21-188M-487,0,55,60513.079999999994,1,3,2,132
21-188M-489,1,88,46103.679999999986,1,2,2,122
21-188M-496,1,80,42314.409999999996,1,2,2,122
21-188M-498,0,104,50950.89000000002,1,1,2,112
21-188M-50,2,414,177383.75000000015,1,1,1,111
21-188M-502,34,57,30942.6,3,3,3,333
21-188M-510,24,19,7290.499999999998,3,4,4,344
21-188M-511,39,72,37693.490000000005,3,2,2,322
21-188M-513,23,102,48948.0,3,1,2,312
21-188M-514,368,51,24354.560000000005,4,3,3,433
21-188M-517,4,164,115835.01999999995,2,1,1,211
21-188M-519,1,65,80941.64,1,2,1,121
21-188M-526,3,181,86211.96000000005,1,1,1,111
21-188M-528,53,45,31008.049999999992,4,3,3,433
21-188M-529,82,6,5392.290000000001,4,4,4,444
21-188M-532,21,52,48245.789999999986,3,3,2,332
21-188M-535,366,42,44055.31999999999,4,3,2,432
21-188M-536,10,54,46736.37999999999,2,3,2,232
21-188M-537,1,133,91165.70000000004,1,1,1,111
21-188M-538,0,129,111787.86999999998,1,1,1,111
21-188M-539,55,42,46381.32,4,3,2,432
21-188M-54,0,152,55260.67999999999,1,1,2,112
21-188M-541,134,2,908.61,4,4,4,444
21-188M-542,36,6,3253.71,3,4,4,344
21-188M-543,6,4,2208.89,2,4,4,244
21-188M-545,2,21,8054.169999999999,1,4,4,144
21-188M-546,10,4,1777.1000000000001,2,4,4,244
21-188M-547,14,2,473.58000000000004,3,4,4,344
21-188M-549,152,7,3716.21,4,4,4,444
21-188M-550,8,61,22623.540000000008,2,2,3,223
21-188M-551,44,6,866.89,3,4,4,344
21-188M-552,4,5,1911.85,2,4,4,244
21-188M-553,44,13,4954.45,3,4,4,344
21-188M-554,3,11,4815.9,1,4,4,144
21-188M-556,23,6,1813.6399999999999,3,4,4,344
21-188M-557,111,4,2272.1099999999997,4,4,4,444
21-188M-558,7,3,1733.3700000000001,2,4,4,244
21-188M-56,11,60,23556.520000000008,2,2,3,223
21-188M-560,2,16,5377.610000000001,1,4,4,144
21-188M-563,56,2,565.96,4,4,4,444
21-188M-565,75,5,1090.6699999999998,4,4,4,444
21-188M-566,2,7,3076.2200000000003,1,4,4,144
21-188M-567,44,8,2932.8700000000003,3,4,4,344
21-188M-568,167,3,1363.67,4,4,4,444
21-188M-569,35,5,1612.4299999999998,3,4,4,344
21-188M-570,385,10,4703.37,4,4,4,444
21-188M-571,419,2,802.27,4,4,4,444
21-188M-572,381,5,3125.8599999999997,4,4,4,444
21-188M-573,368,6,2729.08,4,4,4,444
21-188M-574,375,8,2000.9599999999996,4,4,4,444
21-188M-575,536,2,1071.76,4,4,4,444
21-188M-577,367,5,3363.59,4,4,4,444
21-188M-578,365,20,11362.57,4,4,4,444
21-188M-579,369,6,2212.5599999999995,4,4,4,444
21-188M-58,1,72,65285.56,1,2,2,122
21-188M-581,21,11,12913.67,3,4,4,344
21-188M-582,70,7,5144.96,4,4,4,444
21-188M-583,33,11,11237.199999999999,3,4,4,344
21-188M-584,92,5,2213.4500000000003,4,4,4,444
21-188M-587,49,9,4867.07,4,4,4,444
21-188M-589,38,3,2021.8700000000001,3,4,4,344
21-188M-590,112,39,29030.88,4,3,3,433
21-188M-591,377,6,6561.62,4,4,4,444
21-188M-592,375,8,4184.570000000001,4,4,4,444
21-188M-593,387,15,12509.100000000002,4,4,4,444
21-188M-595,366,18,17808.960000000003,4,4,4,444
21-188M-598,366,18,15921.310000000001,4,4,4,444
21-188M-600,390,3,2780.4900000000002,4,4,4,444
21-188M-602,17,23,15657.04,3,4,4,344
21-188M-603,27,5,5413.3,3,4,4,344
21-188M-607,146,3,1312.4900000000002,4,4,4,444
21-188M-61,41,29,22876.380000000005,3,4,3,343
21-188M-615,1,12,9550.489999999998,1,4,4,144
21-188M-617,14,25,22402.28,3,4,3,343
21-188M-618,133,5,3669.73,4,4,4,444
21-188M-620,378,9,7363.22,4,4,4,444
21-188M-622,10,114,85663.18999999996,2,1,1,211
21-188M-625,369,13,7180.19,4,4,4,444
21-188M-631,0,22,7544.91,1,4,4,144
21-188M-636,1,39,14473.189999999997,1,3,4,134
21-188M-638,1,145,72723.26999999999,1,1,1,111
21-188M-646,2,24,18564.64,1,4,3,143
21-188M-647,6,26,23501.34,2,4,3,243
21-188M-648,3,194,298115.2800000001,1,1,1,111
21-188M-651,6,177,142397.31,2,1,1,211
21-188M-657,366,9,6131.03,4,4,4,444
21-188M-659,17,34,22060.620000000003,3,3,3,333
21-188M-661,1,66,46969.4,1,2,2,122
21-188M-663,399,45,16626.870000000003,4,3,4,434
21-188M-666,15,154,83429.63000000003,3,1,1,311
21-188M-667,4,26,16424.889999999996,2,4,4,244
21-188M-672,7,46,25157.679999999997,2,3,3,233
21-188M-673,377,19,6872.41,4,4,4,444
21-188M-674,33,52,35998.42,3,3,3,333
21-188M-676,0,99,54849.46,1,2,2,122
21-188M-679,1,99,46757.92000000001,1,2,2,122
21-188M-68,29,50,45844.729999999996,3,3,2,332
21-188M-680,6,58,51131.12000000002,2,3,2,232
21-188M-682,102,20,19929.989999999998,4,4,3,443
21-188M-684,7,150,98175.68000000004,2,1,1,211
21-188M-687,33,56,29416.959999999995,3,3,3,333
21-188M-689,124,46,23527.940000000002,4,3,3,433
21-188M-690,365,61,22298.50999999999,4,2,3,423
21-188M-691,23,65,21892.060000000012,3,2,3,323
21-188M-692,0,64,18326.38,1,2,4,124
21-188M-694,401,34,9335.57,4,3,4,434
21-188M-695,36,38,14169.58,3,3,4,334
21-188M-699,391,13,11010.950000000003,4,4,4,444
21-188M-7,0,16,11409.41,1,4,4,144
21-188M-701,3,118,57550.57,1,1,2,112
21-188M-702,1,66,44510.01,1,2,2,122
21-188M-71,28,40,61262.340000000004,3,3,2,332
21-188M-710,75,40,61647.67,4,3,2,432
21-188M-714,45,28,20995.34999999999,3,4,3,343
21-188M-720,0,69,52732.54999999998,1,2,2,122
21-188M-721,6,80,64397.39999999998,2,2,2,222
21-188M-723,2,133,123049.37000000002,1,1,1,111
21-188M-728,1,76,66764.23999999998,1,2,2,122
21-188M-733,0,41,34689.50000000001,1,3,3,133
21-188M-734,48,56,41652.13999999999,3,3,2,332
21-188M-737,9,54,36515.97000000001,2,3,3,233
21-188M-740,11,137,76491.12000000002,2,1,1,211
21-188M-747,369,44,22029.57,4,3,3,433
21-188M-753,392,26,18564.35,4,4,3,443
21-188M-773,370,11,5098.820000000001,4,4,4,444
21-188M-774,541,1,1750.0,4,4,4,444
21-188M-775,404,6,2499.0600000000004,4,4,4,444
21-188M-776,585,4,2337.72,4,4,4,444
21-188M-777,392,10,2679.4599999999996,4,4,4,444
21-188M-778,392,4,959.32,4,4,4,444
21-188M-779,392,11,4126.900000000001,4,4,4,444
21-188M-780,590,2,348.19,4,4,4,444
21-188M-781,381,2,236.45,4,4,4,444
21-188M-782,537,9,16808.22,4,4,4,444
21-188M-783,562,5,2052.73,4,4,4,444
21-188M-784,404,8,4393.910000000001,4,4,4,444
21-188M-785,369,24,16242.960000000001,4,4,4,444
21-188M-786,369,11,7134.540000000001,4,4,4,444
21-188M-787,451,3,2368.13,4,4,4,444
21-188M-789,370,4,3494.7900000000004,4,4,4,444
21-188M-79,370,21,10100.85,4,4,4,444
21-188M-790,194,5,1332.3400000000001,4,4,4,444
21-188M-792,34,9,2235.79,3,4,4,344
21-188M-793,46,5,2127.6,3,4,4,344
21-188M-794,65,11,4372.98,4,4,4,444
21-188M-795,185,5,1288.6299999999999,4,4,4,444
21-188M-796,20,4,681.38,3,4,4,344
21-188M-797,159,2,1590.76,4,4,4,444
21-188M-798,1,7,1308.6100000000001,1,4,4,144
21-188M-799,17,7,2013.1899999999996,3,4,4,344
21-188M-800,31,3,818.18,3,4,4,344
21-188M-801,23,11,3128.9900000000002,3,4,4,344
21-188M-802,397,1,636.11,4,4,4,444
21-188M-803,376,10,3818.05,4,4,4,444
21-188M-805,66,20,8351.500000000002,4,4,4,444
21-188M-806,5,17,9740.62,2,4,4,244
21-188M-807,10,12,9326.609999999997,2,4,4,244
21-188M-810,376,10,5046.6,4,4,4,444
21-188M-812,367,14,6485.820000000001,4,4,4,444
21-188M-813,460,3,1118.33,4,4,4,444
21-188M-814,453,2,805.91,4,4,4,444
21-188M-815,370,3,1724.24,4,4,4,444
21-188M-816,376,7,3386.8599999999997,4,4,4,444
21-188M-817,367,4,2247.78,4,4,4,444
21-188M-819,367,5,1892.3199999999997,4,4,4,444
21-188M-82,4,69,37622.930000000015,2,2,2,222
21-188M-820,16,3,1487.83,3,4,4,344
21-188M-821,10,8,3293.1,2,4,4,244
21-188M-822,110,5,2627.26,4,4,4,444
21-188M-823,110,4,1624.5500000000002,4,4,4,444
21-188M-824,473,2,1096.82,4,4,4,444
21-188M-825,381,5,1983.79,4,4,4,444
21-188M-826,380,8,5656.4400000000005,4,4,4,444
21-188M-827,153,25,15463.129999999996,4,4,4,444
21-188M-828,75,2,900.0,4,4,4,444
21-188M-829,1,22,12735.02,1,4,4,144
21-188M-83,8,14,5920.409999999999,2,4,4,244
21-188M-830,429,5,2125.4599999999996,4,4,4,444
21-188M-831,379,10,5242.27,4,4,4,444
21-188M-832,378,10,4536.13,4,4,4,444
21-188M-836,1,344,199603.86999999997,1,1,1,111
21-188M-838,375,40,18822.039999999997,4,3,3,433
21-188M-84,368,159,74147.40999999999,4,1,1,411
21-188M-840,368,44,24803.710000000006,4,3,3,433
21-188M-842,367,71,37177.39000000001,4,2,3,423
21-188M-843,374,31,18595.17,4,4,3,443
21-188M-849,3,154,193260.44999999984,1,1,1,111
21-188M-850,0,32,9406.180000000002,1,4,4,144
21-188M-854,2,171,100934.34000000007,1,1,1,111
21-188M-855,148,40,40146.44999999999,4,3,2,432
21-188M-856,11,84,80163.52000000002,2,2,1,221
21-188M-857,0,205,119933.34000000005,1,1,1,111
21-188M-858,368,42,24501.999999999996,4,3,3,433
21-188M-859,371,47,27317.75,4,3,3,433
21-188M-860,366,54,35919.69000000001,4,3,3,433
21-188M-867,1,26,35764.60999999999,1,4,3,143
21-188M-87,376,42,52128.05,4,3,2,432
21-188M-875,411,11,11620.619999999999,4,4,4,444
21-188M-876,365,49,49567.64,4,3,2,432
21-188M-879,2,77,94570.00999999998,1,2,1,121
21-188M-882,12,54,59495.19999999997,3,3,2,332
21-188M-883,472,25,29762.609999999993,4,4,3,443
21-188M-884,16,39,39687.69999999999,3,3,2,332
21-188M-889,8,145,91585.20999999998,2,1,1,211
21-188M-891,6,98,155044.77999999994,2,2,1,221
21-188M-893,0,160,148141.8900000001,1,1,1,111
21-188M-896,6,50,30664.329999999998,2,3,3,233
21-188M-899,8,46,41237.24,2,3,2,232
21-188M-9,69,47,40157.28000000001,4,3,2,432
21-188M-904,1,146,116837.79999999996,1,1,1,111
21-188M-907,9,5,4530.33,2,4,4,244
21-188M-908,16,9,4340.48,3,4,4,344
21-188M-909,18,18,9499.060000000001,3,4,4,344
21-188M-91,1,147,69727.89,1,1,1,111
21-188M-910,44,2,2877.4399999999996,3,4,4,344
21-188M-912,1,2,1708.19,1,4,4,144
21-188M-913,104,11,6865.83,4,4,4,444
21-188M-915,360,1,909.05,4,4,4,444
21-188M-916,62,7,4643.63,4,4,4,444
21-188M-917,59,2,590.0699999999999,4,4,4,444
21-188M-918,39,6,2825.79,3,4,4,344
21-188M-919,5,8,2572.3300000000004,2,4,4,244
21-188M-920,142,3,1544.8400000000001,4,4,4,444
21-188M-921,79,4,1916.71,4,4,4,444
21-188M-922,12,13,9545.53,3,4,4,344
21-188M-924,308,3,1817.7399999999998,4,4,4,444
21-188M-925,668,1,454.27,4,4,4,444
21-188M-927,576,4,1726.26,4,4,4,444
21-188M-931,372,12,5407.620000000001,4,4,4,444
21-188M-932,40,11,7641.87,3,4,4,344
21-188M-934,36,5,4545.41,3,4,4,344
21-188M-935,6,6,3967.17,2,4,4,244
21-188M-936,96,6,4512.33,4,4,4,444
21-188M-937,23,7,4936.41,3,4,4,344
21-188M-938,4,2,495.36,2,4,4,244
21-188M-939,189,4,3513.06,4,4,4,444
21-188M-940,11,3,1772.21,2,4,4,244
21-188M-941,110,3,2201.6099999999997,4,4,4,444
21-188M-942,32,8,4259.24,3,4,4,344
21-188M-943,113,11,8908.38,4,4,4,444
21-188M-944,65,3,1748.04,4,4,4,444
21-188M-945,24,3,1817.81,3,4,4,344
21-188M-946,16,5,4176.43,3,4,4,344
21-188M-958,1,299,163752.13,1,1,1,111
21-188M-960,56,15,10004.73,4,4,4,444
21-188M-961,7,83,48654.13999999994,2,2,2,222
21-188M-963,2,69,26479.89000000001,1,2,3,123
21-188M-967,2,120,45807.88,1,1,2,112
21-188M-969,22,131,83340.88,3,1,1,311
21-188M-972,421,42,40926.84000000001,4,3,2,432
21-188M-975,377,15,12632.359999999999,4,4,4,444
21-188M-979,23,37,21471.51,3,3,3,333
21-188M-981,2,81,74960.56999999998,1,2,1,121
21-188M-982,26,24,14410.839999999997,3,4,4,344
21-188M-985,33,42,16167.519999999999,3,3,4,334
21-188M-987,0,91,36585.13999999996,1,2,3,123
21-188M-995,8,36,21536.229999999996,2,3,3,233
21-188M-996,22,164,105725.91999999994,3,1,1,311
21-19DF-102,95,5,319.09000000000003,4,4,4,444
21-19DF-172,33,12,1069.0700000000002,3,4,4,344
21-19DF-173,26,52,4861.779999999999,3,3,4,334
21-19DF-174,39,9,697.26,3,4,4,344
21-19DF-176,28,6,1107.27,3,4,4,344
21-19DF-177,50,6,551.67,4,4,4,444
21-19DF-182,0,101,61362.41999999996,1,1,2,112
21-19DF-183,405,21,10450.789999999997,4,4,4,444
21-19DF-184,375,16,7043.759999999999,4,4,4,444
21-19DF-191,13,63,26493.979999999996,3,2,3,323
21-19DF-293,2,39,9317.470000000001,1,3,4,134
21-19DF-34,3,36,8835.849999999999,1,3,4,134
21-19DF-94,379,31,8326.939999999999,4,4,4,444
21-19DF-96,365,75,20782.87999999999,4,2,3,423
21-19DF-97,398,22,5182.24,4,4,4,444
21-19DF-98,377,33,7924.459999999999,4,3,4,434
21-19DP-1002,4,81,39428.339999999975,2,2,2,222
21-19DP-1003,366,63,36391.64999999998,4,2,3,423
21-19DP-1004,373,41,28909.229999999992,4,3,3,433
21-19DP-1005,1,119,77703.17999999998,1,1,1,111
21-19DP-1008,16,12,7005.030000000001,3,4,4,344
21-19DP-1012,5,150,90426.23000000007,2,1,1,211
21-19DP-1014,366,89,42108.5,4,2,2,422
21-19DP-1017,369,50,24386.800000000003,4,3,3,433
21-19DP-1024,1,180,127576.62000000007,1,1,1,111
21-19DP-1025,43,44,13490.030000000002,3,3,4,334
21-19DP-1029,1,35,8058.450000000002,1,3,4,134
21-19DP-1037,3,11,2393.46,1,4,4,144
21-19DP-1039,10,55,13366.259999999998,2,3,4,234
21-19DP-1048,9,11,3116.5800000000004,2,4,4,244
21-19DP-1052,1,149,34370.38999999999,1,1,3,113
21-19DP-1053,13,9,2535.48,3,4,4,344
21-19DP-1054,36,33,8071.070000000001,3,3,4,334
21-19DP-1055,3,21,5056.8,1,4,4,144
21-19DP-1057,23,23,5316.949999999999,3,4,4,344
21-19DP-1063,8,92,21070.480000000003,2,2,3,223
21-19DP-1066,371,48,9298.330000000002,4,3,4,434
21-19DP-1069,365,39,8944.049999999997,4,3,4,434
21-19DP-107,367,16,3105.23,4,4,4,444
21-19DP-1072,385,36,6487.17,4,3,4,434
21-19DP-1078,366,116,23100.149999999994,4,1,3,413
21-19DP-1080,367,19,3831.7299999999996,4,4,4,444
21-19DP-1081,20,62,39893.66,3,2,2,322
21-19DP-1083,26,24,24029.309999999998,3,4,3,343
21-19DP-1087,12,134,108500.25000000006,3,1,1,311
21-19DP-1089,24,5,3778.78,3,4,4,344
21-19DP-1091,11,26,19964.370000000006,2,4,3,243
21-19DP-1095,1,207,181234.16999999998,1,1,1,111
21-19DP-11,9,104,77282.82,2,1,1,211
21-19DP-1102,0,48,36940.52999999999,1,3,3,133
21-19DP-1103,365,46,39678.10999999998,4,3,2,432
21-19DP-1106,41,39,44259.3,3,3,2,332
21-19DP-1109,50,25,8476.779999999999,4,4,4,444
21-19DP-1110,10,89,28527.160000000007,2,2,3,223
21-19DP-1113,217,113,40275.28000000001,4,1,2,412
21-19DP-1115,377,56,20587.120000000003,4,3,3,433
21-19DP-1119,91,23,12212.52,4,4,4,444
21-19DP-1128,52,38,37487.12,4,3,2,432
21-19DP-1138,367,43,51552.22,4,3,2,432
21-19DP-114,65,21,22463.48,4,4,3,443
21-19DP-1147,3,73,86209.85999999997,1,2,1,121
21-19DP-1149,376,25,25481.749999999996,4,4,3,443
21-19DP-1153,30,61,59838.75000000001,3,2,2,322
21-19DP-1155,19,78,80682.38999999996,3,2,1,321
21-19DP-1159,31,74,57435.77999999999,3,2,2,322
21-19DP-1160,4,60,42951.66000000001,2,2,2,222
21-19DP-1161,4,146,123416.5400000001,2,1,1,211
21-19DP-1166,2,21,5405.079999999999,1,4,4,144
21-19DP-1169,9,137,113605.32999999999,2,1,1,211
21-19DP-1176,1,42,35588.420000000006,1,3,3,133
21-19DP-1177,382,25,20155.47,4,4,3,443
21-19DP-1178,0,119,39325.089999999975,1,1,2,112
21-19DP-1179,6,47,9735.319999999996,2,3,4,234
21-19DP-1181,1,41,8435.449999999999,1,3,4,134
21-19DP-1185,6,103,27778.93000000001,2,1,3,213
21-19DP-1186,22,72,23976.98999999999,3,2,3,323
21-19DP-1190,15,42,28751.87,3,3,3,333
21-19DP-1192,22,54,30781.729999999996,3,3,3,333
21-19DP-1193,53,83,45757.28000000001,4,2,2,422
21-19DP-1194,3,86,48284.41999999997,1,2,2,122
21-19DP-1205,2,194,144878.56000000006,1,1,1,111
21-19DP-121,1,67,20230.389999999992,1,2,3,123
21-19DP-1212,58,155,42579.82999999999,4,1,2,412
21-19DP-1214,2,27,11966.970000000003,1,4,4,144
21-19DP-1217,70,33,19896.81,4,3,3,433
21-19DP-1223,1,83,90797.58,1,2,1,121
21-19DP-1225,184,29,26785.469999999994,4,4,3,443
21-19DP-1226,18,73,87991.76999999999,3,2,1,321
21-19DP-1229,226,96,113698.59999999999,4,2,1,421
21-19DP-1238,6,91,72520.36000000003,2,2,1,221
21-19DP-1239,7,87,48581.709999999985,2,2,2,222
21-19DP-1243,19,51,27229.719999999994,3,3,3,333
21-19DP-1246,7,60,31587.74,2,2,3,223
21-19DP-1248,76,60,35545.689999999995,4,2,3,423
21-19DP-1253,26,89,69283.10000000002,3,2,2,322
21-19DP-1254,48,84,72130.63000000002,3,2,1,321
21-19DP-1256,1,38,30350.130000000023,1,3,3,133
21-19DP-1261,8,46,35368.63000000001,2,3,3,233
21-19DP-1264,0,36,24735.65000000001,1,3,3,133
21-19DP-1265,1,245,104457.27999999987,1,1,1,111
21-19DP-1269,0,98,52490.269999999975,1,2,2,122
21-19DP-1271,28,76,31358.90000000001,3,2,3,323
21-19DP-1275,2,98,44760.00000000002,1,2,2,122
21-19DP-1280,17,97,27066.96,3,2,3,323
21-19DP-1281,370,36,10684.599999999997,4,3,4,434
21-19DP-1286,374,51,15838.18999999999,4,3,4,434
21-19DP-1288,0,54,61150.96000000001,1,3,2,132
21-19DP-1293,18,37,25113.929999999993,3,3,3,333
21-19DP-1298,0,63,46294.6,1,2,2,122
21-19DP-1300,51,27,18506.600000000002,4,4,3,443
21-19DP-1304,3,26,11704.750000000002,1,4,4,144
21-19DP-1305,29,46,17178.500000000007,3,3,4,334
21-19DP-1306,4,87,27703.740000000005,2,2,3,223
21-19DP-1310,17,80,28840.450000000008,3,2,3,323
21-19DP-1313,13,118,51960.78999999995,3,1,2,312
21-19DP-1320,392,39,14374.739999999996,4,3,4,434
21-19DP-1323,13,114,45433.01,3,1,2,312
21-19DP-1324,20,46,18441.359999999997,3,3,3,333
21-19DP-1334,64,60,30675.360000000004,4,2,3,423
21-19DP-1337,371,16,10520.789999999997,4,4,4,444
21-19DP-1338,4,98,56384.98000000004,2,2,2,222
21-19DP-1339,391,30,18245.91,4,4,4,444
21-19DP-1340,1,110,66448.45999999999,1,1,2,112
21-19DP-1348,3,65,69618.62000000002,1,2,1,121
21-19DP-135,1,266,167512.7200000002,1,1,1,111
21-19DP-1356,9,16,7499.489999999999,2,4,4,244
21-19DP-1358,183,55,18699.920000000002,4,3,3,433
21-19DP-1361,48,34,10855.130000000001,3,3,4,334
21-19DP-1362,13,97,56263.03,3,2,2,322
21-19DP-1364,2,13,2645.4599999999996,1,4,4,144
21-19DP-1365,6,58,12235.840000000002,2,3,4,234
21-19DP-1366,25,80,13043.940000000008,3,2,4,324
21-19DP-1369,18,124,15938.150000000003,3,1,4,314
21-19DP-137,22,79,10234.0,3,2,4,324
21-19DP-1371,31,71,9965.31,3,2,4,324
21-19DP-1374,28,34,4068.6199999999994,3,3,4,334
21-19DP-1379,49,145,18612.690000000002,4,1,3,413
21-19DP-1380,369,113,12772.999999999998,4,1,4,414
21-19DP-1384,14,48,31930.56,3,3,3,333
21-19DP-1387,9,7,5783.45,2,4,4,244
21-19DP-139,31,55,38644.22000000001,3,3,2,332
21-19DP-1391,5,46,40483.64000000001,2,3,2,232
21-19DP-1396,11,41,44049.429999999986,2,3,2,232
21-19DP-1398,2,76,75331.23999999996,1,2,1,121
21-19DP-1402,2,83,41636.58000000003,1,2,2,122
21-19DP-1404,365,92,80596.67999999996,4,2,1,421
21-19DP-1405,2,54,41999.69,1,3,2,132
21-19DP-1406,49,44,32726.17,4,3,3,433
21-19DP-1409,38,29,10116.39,3,4,4,344
21-19DP-1410,2,81,29145.010000000002,1,2,3,123
21-19DP-1415,8,120,42360.619999999995,2,1,2,212
21-19DP-1420,1,71,26404.719999999998,1,2,3,123
21-19DP-1424,4,59,23753.68,2,3,3,233
21-19DP-1428,369,34,13127.069999999998,4,3,4,434
21-19DP-143,381,8,2452.96,4,4,4,444
21-19DP-144,34,46,26103.61,3,3,3,333
21-19DP-1440,38,32,13279.480000000005,3,4,4,344
21-19DP-1444,367,42,19001.15000000001,4,3,3,433
21-19DP-1447,372,50,23145.89000000001,4,3,3,433
21-19DP-1449,6,85,79283.7,2,2,1,221
21-19DP-145,1,23,26862.379999999997,1,4,3,143
21-19DP-1458,371,24,29729.929999999993,4,4,3,443
21-19DP-1460,38,120,93439.85999999999,3,1,1,311
21-19DP-1463,25,47,13885.880000000001,3,3,4,334
21-19DP-1465,5,34,13984.880000000001,2,3,4,234
21-19DP-1471,34,78,29240.58,3,2,3,323
21-19DP-1472,425,17,8825.74,4,4,4,444
21-19DP-148,16,54,19618.09,3,3,3,333
21-19DP-1482,0,51,20276.150000000005,1,3,3,133
21-19DP-1484,3,83,42868.28000000004,1,2,2,122
21-19DP-1489,369,38,12103.929999999997,4,3,4,434
21-19DP-1490,388,21,6920.480000000001,4,4,4,444
21-19DP-1493,372,85,29198.209999999995,4,2,3,423
21-19DP-1495,57,93,39201.16000000002,4,2,2,422
21-19DP-1505,47,39,20500.17,3,3,3,333
21-19DP-1507,47,64,30574.64000000001,3,2,3,323
21-19DP-1511,376,25,20527.41,4,4,3,443
21-19DP-1513,3,65,38127.950000000004,1,2,2,122
21-19DP-1517,366,13,13578.91,4,4,4,444
21-19DP-1521,8,282,227820.81000000006,2,1,1,211
21-19DP-1522,1,43,17549.859999999997,1,3,4,134
21-19DP-1524,4,201,203632.37999999998,2,1,1,211
21-19DP-1525,376,24,26012.5,4,4,3,443
21-19DP-1532,1,157,102137.44,1,1,1,111
21-19DP-1534,35,43,33423.770000000004,3,3,3,333
21-19DP-1535,1,78,56845.24999999994,1,2,2,122
21-19DP-1538,16,51,47410.029999999984,3,3,2,332
21-19DP-1539,4,45,43039.32999999999,2,3,2,232
21-19DP-154,0,60,62647.069999999985,1,2,2,122
21-19DP-1545,0,186,107901.53000000006,1,1,1,111
21-19DP-1546,0,106,75938.67000000003,1,1,1,111
21-19DP-1548,376,20,12612.109999999997,4,4,4,444
21-19DP-1549,5,129,67261.53000000003,2,1,2,212
21-19DP-155,0,131,55563.319999999985,1,1,2,112
